id,red1,red2,red3,red4,red5,red6,blue
2018060,4,8,13,25,30,31,10
2018059,4,6,8,13,22,32,11
2018058,7,12,13,16,26,31,7
2018057,5,15,17,19,20,30,13
2018056,1,3,6,20,21,26,1
2018055,7,9,10,12,22,26,7
2018054,4,6,18,22,25,33,16
2018053,1,4,10,11,14,27,6
2018052,3,5,6,9,15,32,14
2018051,5,7,20,23,27,31,4
2018050,1,2,4,10,18,19,7
2018049,1,3,4,11,19,23,2
2018048,1,12,20,25,30,31,2
2018047,6,7,12,16,22,25,7
2018046,10,13,14,18,20,31,3
2018045,3,4,6,25,26,30,1
2018044,5,9,12,17,27,30,6
2018043,1,4,6,8,21,24,7
2018042,6,10,21,28,29,31,12
2018041,7,8,20,23,24,32,13
2018040,1,3,8,13,18,23,16
2018039,8,12,18,19,23,32,3
2018038,15,23,24,25,28,29,9
2018037,1,6,7,8,27,30,10
2018036,8,17,24,26,28,33,4
2018035,7,10,11,17,23,28,15
2018034,1,5,11,22,23,26,15
2018033,4,19,20,22,28,33,6
2018032,21,22,23,24,25,32,6
2018031,2,16,18,19,27,30,14
2018030,13,14,20,21,25,33,7
2018029,1,2,9,14,22,25,5
2018028,3,8,11,14,18,23,16
2018027,2,7,9,14,18,28,5
2018026,4,7,12,14,26,32,4
2018025,4,13,16,19,21,25,14
2018024,11,19,22,26,31,32,2
2018023,12,15,16,21,26,29,16
2018022,7,14,19,21,22,23,3
2018021,3,4,6,11,23,28,14
2018020,6,9,10,14,28,30,5
2018019,3,11,12,16,21,23,9
2018018,2,12,13,18,25,27,7
2018017,3,6,11,26,30,32,12
